stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\MatrixRain\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.08836] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08844] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08852] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08860] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08869] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08877] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08885] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08893] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08901] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08909] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08917] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08925] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08939] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08949] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08957] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08966] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08974] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08983] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08990] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08998] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09006] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09014] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09024] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09037] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09049] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09058] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.09067] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09076] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09084] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09092] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09100] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09108] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09116] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09124] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09132] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09140] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09148] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09156] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09165] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09174] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09182] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09190] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09198] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09206] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09214] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09223] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09231] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09239] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09246] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09255] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09263] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09271] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09279] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09287] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09295] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09303] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09312] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09321] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09328] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09337] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09344] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09352] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09360] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09369] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09377] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09385] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09393] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09401] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09409] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09417] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09424] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09433] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09440] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09448] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09456] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09465] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09473] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09482] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09489] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09498] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09506] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09514] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09522] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09530] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09537] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09546] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09553] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09562] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09574] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09582] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.09590] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09598] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09606] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09614] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09622] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09630] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09638] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09646] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09654] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09663] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09671] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09679] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09695] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09703] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09711] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09724] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09734] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09742] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09750] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09758] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09767] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09775] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09783] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09807] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09819] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09828] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09836] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09844] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09852] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09860] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.09870] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.09934] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.09949] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.14768] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.18116] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.18131] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.18151] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.18164] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.18175] Returning d3d_display: 0114d7f8
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.18183] al_display=0114d7f8
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.18191] al_display->vt=0114d738
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.18240] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.18258] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.18374] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.18395] Module "d3dx9_43.dll" loaded.
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18417] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18428] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18438] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18448] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18456] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18464] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18472] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18479] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.18487] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.18495] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.18503] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.18511] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.18519] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.18604] added dtor for bitmap 028f8db0, func 6ff01c9e
audio-dsound I           dsound.cpp:271  _dsound_open                     [   0.18618] Starting DirectSound...
audio-dsound D           dsound.cpp:280  _dsound_open                     [   0.26606] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:73   get_window                       [   0.26621] Using desktop window: 00010010
audio    I              audio.c:347  do_install_audio                 [   0.26657] Using DirectSound driver
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   0.26675] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   0.26685] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.26694] added dtor for voice 028f4230, func 7000c6e2
dtor     D               dtor.c:196  _al_register_destructor          [   0.26731] added dtor for mixer 02946e60, func 70008481
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   0.26752] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   0.26767] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   0.27336] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   0.27350] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   0.27370] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.27380] added dtor for sample_instance 02948188, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27394] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27403] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27411] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27421] added dtor for sample_instance 02947f68, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27455] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27468] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27477] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27486] added dtor for sample_instance 02948058, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27501] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27521] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27536] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27549] added dtor for sample_instance 02954560, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27562] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27573] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27582] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27591] added dtor for sample_instance 02954650, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27600] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27609] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27617] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27625] added dtor for sample_instance 02954f48, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27634] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27642] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27650] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27658] added dtor for sample_instance 02955038, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27666] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27673] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27682] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27690] added dtor for sample_instance 02955128, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27698] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27712] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27726] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27739] added dtor for sample_instance 029552e0, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27748] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27756] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27774] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27783] added dtor for sample_instance 029553d0, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27791] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27799] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27806] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27815] added dtor for sample_instance 029554c0, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27824] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27833] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27841] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27849] added dtor for sample_instance 029555b0, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27857] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27865] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27873] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27882] added dtor for sample_instance 029556a0, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27890] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27899] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27906] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27915] added dtor for sample_instance 02955790, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27923] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27932] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27940] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27948] added dtor for sample_instance 02955880, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27958] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27966] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27974] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.27982] added dtor for sample_instance 02955970, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.27990] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.27998] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28006] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28016] added dtor for sample_instance 02955be8, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28024] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28032] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28040] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28051] added dtor for sample_instance 029564c8, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28061] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28069] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28096] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28104] added dtor for sample_instance 02956a68, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28115] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28123] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28131] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28139] added dtor for sample_instance 02956d38, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28147] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28155] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28162] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28171] added dtor for sample_instance 02956e28, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28179] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28187] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28194] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28202] added dtor for sample_instance 02956978, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28211] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28225] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28268] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28306] added dtor for sample_instance 02956f18, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28325] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28339] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28353] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28367] added dtor for sample_instance 02956108, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28383] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28407] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.28422] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.28451] added dtor for sample_instance 029565b8, func 70002696
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.28468] sample matrix:
